Corneliano d'Alba comune,Corneliano d'Alba comune.1
,
Corneliano d'Alba – VedutaLa Torre decagonale che sovrasta il paese,Corneliano d'Alba – VedutaLa Torre decagonale che sovrasta il paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alessandra Balbo (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°44′N 7°57′E
Altitudine,204 m s.l.m.
Superficie,"10,09 km²"
Abitanti,2 165[1] (30-11-2025)
Densità,"214,57 ab./km²"
Frazioni,"Migliero, Reala, Sioneri, Vaschetti, Vendole,Centanito"
Comuni confinanti,"Alba, Baldissero d'Alba, Guarene, Montaldo Roero, Monticello d'Alba, Piobesi d'Alba, Sommariva Perno, Vezza d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004072
Cod. catastale,D022
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 568 GG[3]"
Nome abitanti,cornelianesi
Patrono,sant'Anna
Giorno festivo,"26 luglio (liturgica), 1ª domenica di agosto (festa patronale civile)"
Cartografia,Cartografia
Corneliano d'Alba,Corneliano d'Alba
Corneliano d'Alba – MappaPosizione di Corneliano d'Alba nella provincia di Cuneo,Corneliano d'Alba – MappaPosizione di Corneliano d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
