Montelupo Albese comune,Montelupo Albese comune.1
,
Montelupo Albese – VedutaPanorama di Montelupo Albese.,Montelupo Albese – VedutaPanorama di Montelupo Albese.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mario Romanelli (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°37′N 8°03′E
Altitudine,564 m s.l.m.
Superficie,"6,43 km²"
Abitanti,481[1] (30-11-2025)
Densità,"74,81 ab./km²"
Comuni confinanti,"Diano d'Alba, Rodello, Serralunga d'Alba, Sinio"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004137
Cod. catastale,F550
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 014 GG[3]"
Nome abitanti,montelupesi
Patrono,san Bonaventura di Bagnoregio
Giorno festivo,15 luglio
Cartografia,Cartografia
Montelupo Albese,Montelupo Albese
Montelupo Albese – MappaPosizione di Montelupo Albese nella provincia di Cuneo,Montelupo Albese – MappaPosizione di Montelupo Albese nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
