Costigliole Saluzzo comune,Costigliole Saluzzo comune.1
,
Costigliole Saluzzo – VedutaIl borgo medioevale dal ponte sul Varaita,Costigliole Saluzzo – VedutaIl borgo medioevale dal ponte sul Varaita
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Fabrizio Giacomo Giovanni Nasi (lista civica) dal 21-6-2020
Territorio,Territorio
Coordinate,44°34′N 7°29′E
Altitudine,460 m s.l.m.
Superficie,"15,34 km²"
Abitanti,3 305[1] (30-11-2025)
Densità,"215,45 ab./km²"
Frazioni,"Ceretto, San Michele"
Comuni confinanti,"Busca, Piasco, Rossana, Verzuolo, Villafalletto"
Altre informazioni,Altre informazioni
Cod. postale,12024
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004075
Cod. catastale,D120
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Nome abitanti,costigliolesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Costigliole Saluzzo,Costigliole Saluzzo
Costigliole Saluzzo – MappaPosizione di Costigliole Saluzzo in provincia di Cuneo,Costigliole Saluzzo – MappaPosizione di Costigliole Saluzzo in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
