Novello comune,Novello comune.1
,
Novello – VedutaPanorama,Novello – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Pallaro (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°35′N 7°56′E
Altitudine,471 m s.l.m.
Superficie,"11,71 km²"
Abitanti,919[1] (30-11-2025)
Densità,"78,48 ab./km²"
Frazioni,"Bergera, Moriglione, Panerole[2]"
Comuni confinanti,"Barolo, Lequio Tanaro, Monchiero, Monforte d'Alba, Narzole"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004152
Cod. catastale,F961
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 899 GG[4]"
Nome abitanti,novellesi
Patrono,San Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Novello,Novello
Novello – MappaPosizione di Novello nella provincia di Cuneo,Novello – MappaPosizione di Novello nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
