Martiniana Po comune,Martiniana Po comune.1
,
Martiniana Po – Veduta,Martiniana Po – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Valderico Berardo (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,44°37′36″N 7°21′59″E
Altitudine,460 m s.l.m.
Superficie,"13,28 km²"
Abitanti,808[1] (30-11-2025)
Densità,"60,84 ab./km²"
Comuni confinanti,"Brondello, Brossasco, Gambasca, Isasca, Rifreddo, Revello"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004121
Cod. catastale,E988
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 885 GG[3]"
Nome abitanti,martinianesi
Patrono,Madonna delle Grazie
Giorno festivo,15 agosto
Cartografia,Cartografia
Martiniana Po,Martiniana Po
Martiniana Po – MappaPosizione di Martiniana Po nella provincia di Cuneo,Martiniana Po – MappaPosizione di Martiniana Po nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
