Pezzolo Valle Uzzone comune,Pezzolo Valle Uzzone comune.1
,
Pezzolo Valle Uzzone – Veduta,Pezzolo Valle Uzzone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gianni Balbiano (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,44°32′N 8°12′E
Altitudine,321 m s.l.m.
Superficie,"26,57 km²"
Abitanti,282[1] (30-11-2025)
Densità,"10,61 ab./km²"
Frazioni,"Gorrino, Santuario di Todocco, Carpeneta, Vassalli, Blengi"
Comuni confinanti,"Bergolo, Castelletto Uzzone, Cortemilia, Levice, Piana Crixia (SV), Serole (AT)"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004164
Cod. catastale,G532
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,pezzolesi
Patrono,san Colombano
Giorno festivo,23 novembre
Cartografia,Cartografia
Pezzolo Valle Uzzone,Pezzolo Valle Uzzone
Pezzolo Valle Uzzone – MappaPosizione del comune di Pezzolo Valle Uzzone nella provincia di Cuneo,Pezzolo Valle Uzzone – MappaPosizione del comune di Pezzolo Valle Uzzone nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
