Sanfré comune,Sanfré comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giovanni Pautasso (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°45′N 7°48′E
Altitudine,272 m s.l.m.
Superficie,"15,5 km²"
Abitanti,3 039[1] (30-11-2025)
Densità,"196,06 ab./km²"
Frazioni,"Martini, Motta"
Comuni confinanti,"Bra, Cavallermaggiore, Pocapaglia, Sommariva del Bosco, Sommariva Perno"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004208
Cod. catastale,H851
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,sanfredesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Motto,Omnibus Idem
Cartografia,Cartografia
Sanfré,Sanfré
Sanfré – MappaTerritorio comunale di Sanfré nella provincia di Cuneo.,Sanfré – MappaTerritorio comunale di Sanfré nella provincia di Cuneo.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
