Cerretto Langhe comune,Cerretto Langhe comune.1
,
Cerretto Langhe – VedutaCerretto Langhe in una cartolina d'epoca.,Cerretto Langhe – VedutaCerretto Langhe in una cartolina d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Davide Sobrero (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°34′29.42″N 8°05′52.58″E
Altitudine,687 m s.l.m.
Superficie,"10,14 km²"
Abitanti,388[1] (30-11-2025)
Densità,"38,26 ab./km²"
Frazioni,"Cavallotti, Cerretta, Pedaggera"
Comuni confinanti,"Albaretto della Torre, Arguello, Cravanzana, Feisoglio, Roddino, Serravalle Langhe, Sinio"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004063
Cod. catastale,C530
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,cerrettesi
Patrono,Esaltazione della Santa Croce
Giorno festivo,14 settembre
Cartografia,Cartografia
Cerretto Langhe,Cerretto Langhe
Cerretto Langhe – MappaPosizione di Cerretto Langhe nella provincia di Cuneo,Cerretto Langhe – MappaPosizione di Cerretto Langhe nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
