Prazzo comune,Prazzo comune.1
,
Prazzo – VedutaPrazzo in una xilografia di fine Ottocento,Prazzo – VedutaPrazzo in una xilografia di fine Ottocento
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gabriele Lice (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°29′N 7°03′E
Altitudine,1 030 m s.l.m.
Superficie,"52,39 km²"
Abitanti,170[1] (30-11-2025)
Densità,"3,24 ab./km²"
Frazioni,"Borgo Nuovo, Maddalena, Prazzo Inferiore, Prazzo Superiore (sede comunale), San Michele di Prazzo, Ussolo"
Comuni confinanti,"Acceglio, Bellino, Canosio, Elva, Marmora, Stroppo"
Altre informazioni,Altre informazioni
Cod. postale,12028
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004174
Cod. catastale,H011
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 592 GG[3]"
Nome abitanti,prazzesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Prazzo,Prazzo
Prazzo – MappaPosizione del comune di Prazzo nella provincia di Cuneo,Prazzo – MappaPosizione del comune di Prazzo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
