Casalgrasso comune,Casalgrasso comune.1
,
Casalgrasso – Veduta,Casalgrasso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giovanni Donetto (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°49′N 7°38′E
Altitudine,240 m s.l.m.
Superficie,"17,81 km²"
Abitanti,1 463[1] (30-11-2025)
Densità,"82,14 ab./km²"
Frazioni,"Braida, Carpenetta Gamna, Carrone, Prati Solari."
Comuni confinanti,"Faule, Lombriasco (TO), Pancalieri (TO), Polonghera, Racconigi, Carmagnola (TO)"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,004045
Cod. catastale,B894
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,casalgrassesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Motto,Hostibus Resistit
Cartografia,Cartografia
Casalgrasso,Casalgrasso
Casalgrasso – MappaPosizione di Casalgrasso in provincia di Cuneo,Casalgrasso – MappaPosizione di Casalgrasso in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
