Sinio comune,Sinio comune.1
,
Sinio – Veduta,Sinio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Sergio Seghesio (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°36′N 8°01′E
Altitudine,357 m s.l.m.
Superficie,"8,6 km²"
Abitanti,468[1] (30-11-2025)
Densità,"54,42 ab./km²"
Comuni confinanti,"Albaretto della Torre, Cerretto Langhe, Montelupo Albese, Roddino, Rodello, Serralunga d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004220
Cod. catastale,I750
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 758 GG[3]"
Nome abitanti,siniesi
Patrono,san Frontiniano e Maria SS. Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Sinio,Sinio
Sinio – MappaPosizione di Sinio nella provincia di Cuneo,Sinio – MappaPosizione di Sinio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
