Castiglione Tinella comune,Castiglione Tinella comune.1
,
Castiglione Tinella – Veduta,Castiglione Tinella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Bruno Penna (lista civica) dal 30-3-2010
Territorio,Territorio
Coordinate,44°44′N 8°11′E
Altitudine,408 m s.l.m.
Superficie,"11,63 km²"
Abitanti,743[1] (30-11-2025)
Densità,"63,89 ab./km²"
Frazioni,"Balbi, San Carlo, San Giorgio, San Martino"
Comuni confinanti,"Calosso (AT), Castagnole delle Lanze (AT), Coazzolo (AT), Costigliole d'Asti (AT), Santo Stefano Belbo"
Altre informazioni,Altre informazioni
Cod. postale,12053
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,004056
Cod. catastale,C317
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 821 GG[3]"
Nome abitanti,castiglionesi
Cartografia,Cartografia
Castiglione Tinella,Castiglione Tinella
Castiglione Tinella – MappaPosizione di Castiglione Tinella nella provincia di Cuneo,Castiglione Tinella – MappaPosizione di Castiglione Tinella nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
