Castelnuovo di Ceva comune,Castelnuovo di Ceva comune.1
,
Castelnuovo di Ceva – Veduta,Castelnuovo di Ceva – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mauro Rebuffo (lista civica Uniti per Castelnuovo) dal 13-6-2018 (2º mandato)
Territorio,Territorio
Coordinate,44°21′N 8°08′E
Altitudine,743 m s.l.m.
Superficie,"6,26 km²"
Abitanti,102[1] (30-11-2025)
Densità,"16,29 ab./km²"
Frazioni,Stevagni
Comuni confinanti,"Montezemolo, Murialdo (SV), Priero, Roccavignale (SV)"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004054
Cod. catastale,C214
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 236 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Maurizio martire
Giorno festivo,22 novembre
Cartografia,Cartografia
Castelnuovo di Ceva,Castelnuovo di Ceva
Castelnuovo di Ceva – MappaPosizione di Castelnuovo di Ceva nella provincia di Cuneo,Castelnuovo di Ceva – MappaPosizione di Castelnuovo di Ceva nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
