Scarnafigi comune,Scarnafigi comune.1
,
Scarnafigi – VedutaIl castello in una cartolina del 1943,Scarnafigi – VedutaIl castello in una cartolina del 1943
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Riccardo Ghigo (lista civica) dal 26-5-2014
Data di istituzione,1947[1] (Ricostituzione)
Territorio,Territorio
Coordinate,44°41′N 7°34′E
Altitudine,296 m s.l.m.
Superficie,"30,5 km²"
Abitanti,2 090[2] (30-11-2025)
Densità,"68,52 ab./km²"
Frazioni,"Fornaca, Fornaca Nuova, Grangia, Millone, San Cristoforo."
Comuni confinanti,"Lagnasco, Monasterolo di Savigliano, Ruffia, Saluzzo, Savigliano, Torre San Giorgio, Villanova Solaro"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004217
Cod. catastale,I512
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 682 GG[4]"
Nome abitanti,scarnafigesi
Patrono,"Corpi Santi (Santi Martiri Casto, Clara, Onorato e Verecondo)"
Giorno festivo,ultima domenica di settembre
Motto,"Ubi pax, ibi felicitas"
Cartografia,Cartografia
Scarnafigi,Scarnafigi
Scarnafigi – MappaTerritorio comunale di Scarnafigi nella provincia di Cuneo,Scarnafigi – MappaTerritorio comunale di Scarnafigi nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
