Arguello comune,Arguello comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alessandro Fenocchio (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°35′N 8°07′E
Altitudine,661 m s.l.m.
Superficie,"4,92 km²"
Abitanti,192[1] (30-11-2025)
Densità,"39,02 ab./km²"
Frazioni,Tre Cunei
Comuni confinanti,"Albaretto della Torre, Cerretto Langhe, Cravanzana, Lequio Berria"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004007
Cod. catastale,A396
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 135 GG[3]"
Nome abitanti,arguellesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Arguello,Arguello
Arguello – MappaPosizione di Arguello nella provincia di Cuneo,Arguello – MappaPosizione di Arguello nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
