Pamparato comune,Pamparato comune.1
,
Pamparato – VedutaVeduta invernale,Pamparato – VedutaVeduta invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Franco Borgna (lista civica Pamparato nel cuore) dal 27-5-2019
Territorio,Territorio
Coordinate,44°17′N 7°55′E
Altitudine,"816 (min 710 - max 2,004) m s.l.m."
Superficie,"34,51 km²"
Abitanti,263[1] (30-11-2025)
Densità,"7,62 ab./km²"
Frazioni,"Valcasotto, Serra"
Comuni confinanti,"Garessio, Monasterolo Casotto, Roburent, Torre Mondovì, Viola"
Altre informazioni,Altre informazioni
Cod. postale,12087
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004159
Cod. catastale,G302
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 327 GG[3]"
Nome abitanti,pamparatesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Motto,Habent Panem Paratum
Cartografia,Cartografia
Pamparato,Pamparato
Pamparato – MappaPosizione di Pamparato nella provincia di Cuneo,Pamparato – MappaPosizione di Pamparato nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
