Città di Barge comune,Città di Barge comune.1
,
Città di Barge – Veduta,Città di Barge – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Ivo Beccaria (lista civica Praticamente Barge) dal 12-6-2022
Territorio,Territorio
Coordinate,44°44′N 7°19′E
Altitudine,372 m s.l.m.
Superficie,"81,99 km²"
Abitanti,7 492[1] (30-11-2025)
Densità,"91,38 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bagnolo Piemonte, Cardè, Cavour (TO), Envie, Ostana, Paesana, Revello, Sanfront, Villafranca Piemonte (TO)"
Altre informazioni,Altre informazioni
Cod. postale,12032
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004012
Cod. catastale,A660
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 776 GG[3]"
Nome abitanti,"bargesi, (antico: bargiolini)"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Città di Barge,Città di Barge
Città di Barge – MappaPosizione di Barge nella provincia di Cuneo,Città di Barge – MappaPosizione di Barge nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
