Piasco comune,Piasco comune.1
,
Piasco – Veduta,Piasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Stefania Dalmasso (lista civica) dal 09.06.2024
Territorio,Territorio
Coordinate,44°33′50″N 7°27′17″E
Altitudine,480 m s.l.m.
Superficie,"10,62 km²"
Abitanti,2 761[1] (30-11-2025)
Densità,"259,98 ab./km²"
Frazioni,"Sant'Antonio, Serravalle"
Comuni confinanti,"Costigliole Saluzzo, Pagno, Rossana, Venasca, Verzuolo"
Altre informazioni,Altre informazioni
Cod. postale,12026
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004166
Cod. catastale,G575
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 910 GG[3]"
Nome abitanti,piaschesi
Patrono,san Rocco
Cartografia,Cartografia
Piasco,Piasco
Piasco – MappaTerritorio comunale di Piasco nella provincia di Cuneo,Piasco – MappaTerritorio comunale di Piasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
