Savigliano comune,Savigliano comune.1
,
Savigliano – VedutaPalazzo Taffini D'Acceglio,Savigliano – VedutaPalazzo Taffini D'Acceglio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Antonello Portera (lista civica) dal 26-6-2022
Territorio,Territorio
Coordinate,44°39′N 7°38′E
Altitudine,320 m s.l.m.
Superficie,"110,79 km²"
Abitanti,21 750[1] (30-11-2025)
Densità,"196,32 ab./km²"
Frazioni,"Apparizione, Canavere, Levaldigi, San Giacomo, San Grato, Sanità, San Salvatore, Santa Rosalia, Solere, Solerette, Suniglia, Tetti Vigna, Cavallotta, Maresco, Tetti Roccia, Rigrasso, Tetti Chiamba"
Comuni confinanti,"Cavallermaggiore, Cervere, Fossano, Genola, Lagnasco, Marene, Monasterolo di Savigliano, Scarnafigi, Verzuolo, Villafalletto, Vottignasco"
Altre informazioni,Altre informazioni
Cod. postale,12038
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004215
Cod. catastale,I470
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 817 GG[3]"
Nome abitanti,saviglianesi
Patrono,san Sebastiano
Giorno festivo,19 agosto
Motto,Fidelis Deo et Hominibus
Cartografia,Cartografia
Savigliano,Savigliano
Savigliano – MappaPosizione del comune di Savigliano nella provincia di Cuneo,Savigliano – MappaPosizione del comune di Savigliano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
