Stroppo comune,Stroppo comune.1
,
Stroppo – VedutaPanorama con le chiese e la frazione Bassura,Stroppo – VedutaPanorama con le chiese e la frazione Bassura
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Andrea Salsotto (lista civica)
Territorio,Territorio
Coordinate,44°30′N 7°08′E
Altitudine,1 087 m s.l.m.
Superficie,"28,1 km²"
Abitanti,101[1] (30-11-2025)
Densità,"3,59 ab./km²"
Frazioni,"Arneodi, Bassura, Caudano, Centenero, Ciamino, Contà, Cucchiales, Forte, Giordana, Grangia, Morinesio, Noufresio, Paschero(capoluogo), Pessa, Possile, Ruata Valle, San Martino"
Comuni confinanti,"Elva, Macra, Marmora, Prazzo, Sampeyre"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004224
Cod. catastale,I985
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 663 GG[3]"
Nome abitanti,stroppesi
Cartografia,Cartografia
Stroppo,Stroppo
Stroppo – MappaPosizione di Stroppo nella provincia di Cuneo,Stroppo – MappaPosizione di Stroppo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
