Cavallerleone comune,Cavallerleone comune.1
,
Cavallerleone – VedutaVeduta,Cavallerleone – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marcellino Peretti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°44′N 7°40′E
Altitudine,270 m s.l.m.
Superficie,"16,44 km²"
Abitanti,666[1] (30-11-2025)
Densità,"40,51 ab./km²"
Frazioni,"Cascinassa, Pedaggera"
Comuni confinanti,"Cavallermaggiore, Murello, Racconigi, Ruffia"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004058
Cod. catastale,C375
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 589 GG[3]"
Nome abitanti,cavallerleonesi
Patrono,san Romano
Giorno festivo,9 agosto
Cartografia,Cartografia
Cavallerleone,Cavallerleone
Cavallerleone – MappaPosizione di Cavallerleone nella provincia di Cuneo,Cavallerleone – MappaPosizione di Cavallerleone nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
