Lequio Berria comune,Lequio Berria comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Silvano Rabino (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°36′N 8°06′E
Altitudine,715 m s.l.m.
Superficie,"11,83 km²"
Abitanti,427[1] (30-11-2025)
Densità,"36,09 ab./km²"
Comuni confinanti,"Albaretto della Torre, Arguello, Benevello, Borgomale, Bosia, Cravanzana, Rodello"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004106
Cod. catastale,E540
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 202 GG[3]"
Nome abitanti,lequiesi
Cartografia,Cartografia
Lequio Berria,Lequio Berria
Lequio Berria – MappaPosizione di Lequio Berria nella provincia di Cuneo,Lequio Berria – MappaPosizione di Lequio Berria nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
