Bagnolo Piemonte comune,Bagnolo Piemonte comune.1
,
Bagnolo Piemonte – VedutaVeduta,Bagnolo Piemonte – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Baldi (lista civica Uniti per Bagnolo) dal 12-6-2022
Territorio,Territorio
Coordinate,44°46′N 7°19′E
Altitudine,"365 (min 309 - max 2,720) m s.l.m."
Superficie,"63,25 km²"
Abitanti,5 696[1] (30-11-2025)
Densità,"90,06 ab./km²"
Frazioni,"Montoso, Rucas, Villaretto, Villar"
Comuni confinanti,"Crissolo, Ostana, Barge, Bibiana (TO), Cavour (TO), Luserna San Giovanni (TO), Rorà (TO), Villar Pellice (TO)"
Altre informazioni,Altre informazioni
Cod. postale,12031
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004009
Cod. catastale,A571
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 768 GG[3]"
Nome abitanti,bagnolesi
Patrono,san Pietro in Vincoli
Giorno festivo,29 giugno
Cartografia,Cartografia
Bagnolo Piemonte,Bagnolo Piemonte
Bagnolo Piemonte – MappaPosizione del comune di Bagnolo Piemonte nella provincia di Cuneo,Bagnolo Piemonte – MappaPosizione del comune di Bagnolo Piemonte nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
