Brossasco comune,Brossasco comune.1
,
Brossasco – VedutaPanorama dal Colle della Ciabra,Brossasco – VedutaPanorama dal Colle della Ciabra
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Paolo Amorisco (lista civica) dal 2-6-2017
Territorio,Territorio
Coordinate,44°34′11″N 7°21′40″E
Altitudine,606 m s.l.m.
Superficie,"28,06 km²"
Abitanti,981[1] (30-11-2025)
Densità,"34,96 ab./km²"
Frazioni,"Chiabrandi, Masueria, San Sisto, S.Mauro, Tonda, Varetto, Canonici, Castello, Barra, paris, Bianchi, Spagnoli."
Comuni confinanti,"Venasca, Busca, Frassino, Gambasca, Isasca, Martiniana Po, Melle, Sampeyre, Sanfront, Valmala"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004033
Cod. catastale,B204
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 067 GG[3]"
Nome abitanti,brossaschesi
Patrono,Madonna della Neve
Cartografia,Cartografia
Brossasco,Brossasco
Brossasco – MappaPosizione di Brossasco in provincia di Cuneo,Brossasco – MappaPosizione di Brossasco in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
