Monesiglio comune,Monesiglio comune.1
,
Monesiglio – VedutaPanorama,Monesiglio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giuseppe Galliano (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,44°28′N 8°07′E
Altitudine,372 m s.l.m.
Superficie,"12,93 km²"
Abitanti,566[1] (30-11-2025)
Densità,"43,77 ab./km²"
Frazioni,"Bertole, Lisini, Noceto Sottano, Noceto Soprano, Scorticata, Vaglio"
Comuni confinanti,"Camerana, Gottasecca, Mombarcaro, Prunetto"
Altre informazioni,Altre informazioni
Cod. postale,12077
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004131
Cod. catastale,F355
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 776 GG[3]"
Nome abitanti,monesigliesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Monesiglio,Monesiglio
Monesiglio – MappaPosizione del comune di Monesiglio nella provincia di Cuneo,Monesiglio – MappaPosizione del comune di Monesiglio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
