Rocca Cigliè comune,Rocca Cigliè comune.1
,
Rocca Cigliè – Veduta,Rocca Cigliè – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luigi Ferrua (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°27′N 7°57′E
Altitudine,604 m s.l.m.
Superficie,"7,02 km²"
Abitanti,121[1] (30-11-2025)
Densità,"17,24 ab./km²"
Comuni confinanti,"Castellino Tanaro, Cigliè, Clavesana, Marsaglia, Niella Tanaro"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004188
Cod. catastale,H391
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 064 GG[3]"
Nome abitanti,roccacigliesi
Patrono,Maria Santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Rocca Cigliè,Rocca Cigliè
Rocca Cigliè – MappaPosizione di Rocca Cigliè nella provincia di Cuneo,Rocca Cigliè – MappaPosizione di Rocca Cigliè nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
