Briga Alta comune,Briga Alta comune.1
,
Briga Alta – VedutaVista di Upega,Briga Alta – VedutaVista di Upega
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Federica Lanteri (lista civica) dal 21-9-2020
Data di istituzione,1947
Territorio,Territorio
Coordinate,44°04′52.67″N 7°44′27.2″E
Altitudine,1 310 m s.l.m.
Superficie,"52,18 km²"
Abitanti,40[1] (30-11-2025)
Densità,"0,77 ab./km²"
Frazioni,"Carnino, Piaggia, Upega"
Comuni confinanti,"Chiusa di Pesio, Cosio di Arroscia (IM), Briga Marittima (La Brigue) (FR-06), Limone Piemonte, Mendatica (IM), Ormea, Roccaforte Mondovì, Tenda (Tende) (FR-06), Triora (IM)"
Altre informazioni,Altre informazioni
Cod. postale,"18025 (Piaggia); 12078 (Carnino, Upega)"
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004031
Cod. catastale,B175
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 939 GG[3]"
Nome abitanti,brigaschi
Patrono,san Giacomo Maggiore
Giorno festivo,25 luglio
Motto,Fracta resurget
Cartografia,Cartografia
Briga Alta,Briga Alta
Briga Alta – MappaPosizione del comune di Briga Alta nella provincia di Cuneo,Briga Alta – MappaPosizione del comune di Briga Alta nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
