Bra comune,Bra comune.1
,
Bra – VedutaPanorama,Bra – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giovanni Fogliato (centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°42′N 7°51′E
Altitudine,290 m s.l.m.
Superficie,"59,53 km²"
Abitanti,29 834[1] (30-11-2025)
Densità,"501,16 ab./km²"
Frazioni,"America dei Boschi, Bandito, Boschetto, Borgo Nuovo, Cà del Bosco, Castelletto, Chiossa, Crociera Burdina, Falchetto, Fossano, Grione, Matrotti, Piumati, Pollenzo, Quinto Bianco, Riva, Rivo, Ronchi, Sabecco Superiore, San Matteo, San Maurizio, Sant'Agnese, Scatoleri, San Michele, Tetti Bassi, Tetti Bona, Tetti Milanesi, Tetti Rasa"
Comuni confinanti,"Cavallermaggiore, Cherasco, La Morra, Pocapaglia, Sanfrè, Santa Vittoria d'Alba, Verduno"
Altre informazioni,Altre informazioni
Cod. postale,12042
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004029
Cod. catastale,B111
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,braidesi
Patrono,Madonna dei Fiori
Giorno festivo,8 settembre
Motto,"Ornat, non onerat"
Cartografia,Cartografia
Bra,Bra
Bra – MappaPosizione del comune di Bra nella provincia di Cuneo,Bra – MappaPosizione del comune di Bra nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
