San Damiano Macra comune,San Damiano Macra comune.1
,
San Damiano Macra – VedutaPanorama,San Damiano Macra – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giorgio Gianti dal 27-5-2019
Territorio,Territorio
Coordinate,44°29′18″N 7°15′27″E
Altitudine,743 m s.l.m.
Superficie,"54,26 km²"
Abitanti,406[1] (30-11-2025)
Densità,"7,48 ab./km²"
Frazioni,"Lottulo, Paglieres, Pagliero, Reboissino"
Comuni confinanti,"Cartignano, Castelmagno, Celle di Macra, Dronero, Frassino, Macra, Melle, Sampeyre"
Altre informazioni,Altre informazioni
Cod. postale,12029
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004207
Cod. catastale,H812
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 236 GG[3]"
Nome abitanti,sandamianesi
Patrono,S. Antonio
Giorno festivo,fine giugno
Cartografia,Cartografia
San Damiano Macra,San Damiano Macra
San Damiano Macra – MappaPosizione di San Damiano Macra nella provincia di Cuneo,San Damiano Macra – MappaPosizione di San Damiano Macra nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
