Castiglione Falletto comune,Castiglione Falletto comune.1
,
Castiglione Falletto – Veduta,Castiglione Falletto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Piero Eirale (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°37′26.3″N 7°58′43.2″E
Altitudine,350 m s.l.m.
Superficie,"4,72 km²"
Abitanti,655[1] (30-11-2025)
Densità,"138,77 ab./km²"
Frazioni,Uccellaccio
Comuni confinanti,"Alba, Barolo, La Morra, Monforte d'Alba, Serralunga d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004055
Cod. catastale,C314
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 749 GG[3]"
Nome abitanti,castiglionesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Motto,Segur
Cartografia,Cartografia
Castiglione Falletto,Castiglione Falletto
Castiglione Falletto – MappaPosizione di Castiglione Falletto nella provincia di Cuneo,Castiglione Falletto – MappaPosizione di Castiglione Falletto nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
