Pietraporzio comune,Pietraporzio comune.1
,
Pietraporzio – Veduta,Pietraporzio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Sabrina Rocchia (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°21′N 7°02′E
Altitudine,1 246 m s.l.m.
Superficie,"55,19 km²"
Abitanti,69[1] (30-11-2025)
Densità,"1,25 ab./km²"
Frazioni,"Castello, Murenz, Pontebernardo"
Comuni confinanti,"Argentera, Canosio, Santo Stefano di Tinea (FR-06), Sambuco, Vinadio"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004167
Cod. catastale,G625
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 860 GG[3]"
Nome abitanti,pietraporziesi
Patrono,Madonna del Carmine e santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Pietraporzio,Pietraporzio
Pietraporzio – MappaPosizione del comune di Pietraporzio nella provincia di Cuneo,Pietraporzio – MappaPosizione del comune di Pietraporzio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
