Dronero comune,Dronero comune.1
,
Dronero – VedutaPanorama,Dronero – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mauro Astesano (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate,44°28′N 7°22′E
Altitudine,622 m s.l.m.
Superficie,"58,96 km²"
Abitanti,7 014[1] (30-11-2025)
Densità,"118,96 ab./km²"
Frazioni,"Archero, Borgata Nuova, Borgetto, Fornace, Gangotta Sottana, Lerda, Madonna Addolorata, Monastero, Murassone, Nasani, Perotti, Ponte di Bedale, Pratavecchia, Ripoli, Ruà del Prato, San Maurizio, Santa Lucia, Sant'Anna di Piossasco, Tetti"
Comuni confinanti,"Busca, Caraglio, Cartignano, Castelmagno, Montemale di Cuneo, Monterosso Grana, Pradleves, Roccabruna, San Damiano Macra, Villar San Costanzo"
Altre informazioni,Altre informazioni
Cod. postale,12025
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004082
Cod. catastale,D372
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 086 GG[3]"
Nome abitanti,droneresi
Patrono,Madonna di Ripoli
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Dronero,Dronero
Dronero – MappaPosizione del comune di Dronero nella provincia di Cuneo,Dronero – MappaPosizione del comune di Dronero nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
