Torresina comune,Torresina comune.1
,
Torresina – VedutaVeduta,Torresina – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Renata Dalmazzone (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Data di istituzione,1829
Territorio,Territorio
Coordinate,44°26′N 8°02′E
Altitudine,704 m s.l.m.
Superficie,"3,82 km²"
Abitanti,48[1] (30-11-2025)
Densità,"12,57 ab./km²"
Comuni confinanti,"Igliano, Murazzano, Paroldo, Roascio"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004229
Cod. catastale,L281
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 188 GG[3]"
Nome abitanti,torresinesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Torresina,Torresina
Torresina – MappaPosizione di Torresina nella provincia di Cuneo,Torresina – MappaPosizione di Torresina nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
