Busca comune,Busca comune.1
,
Busca – VedutaL'abitato di Busca visto dall'Eremo di Belmonte,Busca – VedutaL'abitato di Busca visto dall'Eremo di Belmonte
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Ezio Donadio (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°31′N 7°28′E
Altitudine,500 m s.l.m.
Superficie,"65,85 km²"
Abitanti,10 243[1] (30-11-2025)
Densità,"155,55 ab./km²"
Frazioni,"Attissano, Bicocca, Bosco, Castelletto, Loreto, Madonna del Campanile, Morra San Bernardo, Morra San Giovanni, Roata Raffo, San Barnaba, San Chiaffredo, San Defendente, San Giacomo, San Giuseppe, San Martino, San Mauro, San Quintino, San Rocco, San Vitale, Sant'Alessio, Santo Stefano, Valmala"
Comuni confinanti,"Brossasco, Caraglio, Costigliole Saluzzo, Cuneo, Dronero, Melle, Roccabruna, Rossana, Tarantasca, Venasca, Villafalletto, Villar San Costanzo"
Altre informazioni,Altre informazioni
Cod. postale,12022
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004034
Cod. catastale,B285
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 935 GG[3]"
Nome abitanti,buschesi
Patrono,La Madonnina[la statua? Perché viene venerata? O c'è un collegamento per qualche funzione?]
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Busca,Busca
Busca – MappaPosizione del comune di Busca nella provincia di Cuneo,Busca – MappaPosizione del comune di Busca nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
