Bergolo comune,Bergolo comune.1
,
Bergolo – Veduta,Bergolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mario Marone (lista civica) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,44°33′03.37″N 8°10′38.48″E
Altitudine,616 m s.l.m.
Superficie,"3,11 km²"
Abitanti,51[1] (30-11-2025)
Densità,"16,4 ab./km²"
Frazioni,Bergamaschi
Comuni confinanti,"Cortemilia, Levice, Pezzolo Valle Uzzone, Torre Bormida"
Altre informazioni,Altre informazioni
Cod. postale,12074
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004021
Cod. catastale,A798
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 079 GG[3]"
Nome abitanti,bergolesi
Patrono,Natività di Maria Vergine
Cartografia,Cartografia
Bergolo,Bergolo
Bergolo – MappaPosizione di Bergolo nella provincia di Cuneo,Bergolo – MappaPosizione di Bergolo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
