Cissone comune,Cissone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Eugenio Baudana (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°34′N 8°02′E
Altitudine,661 m s.l.m.
Superficie,"5,9 km²"
Abitanti,77[1] (30-11-2025)
Densità,"13,05 ab./km²"
Frazioni,"Albera, Baudrà, Fenogli, Neri"
Comuni confinanti,"Bossolasco, Dogliani, Roddino, Serravalle Langhe"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004070
Cod. catastale,C738
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 135 GG[3]"
Nome abitanti,cissonesi
Patrono,santa Lucia
Cartografia,Cartografia
Cissone,Cissone
Cissone – MappaPosizione di Cissone nella provincia di Cuneo,Cissone – MappaPosizione di Cissone nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
