Rittana comune,Rittana comune.1
,
Rittana – VedutaLa valle di Rittana con al centro il borgo di San Mauro; sullo sfondo Borgo San Dalmazzo,Rittana – VedutaLa valle di Rittana con al centro il borgo di San Mauro; sullo sfondo Borgo San Dalmazzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giacomo Doglio (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,44°21′N 7°24′E
Altitudine,750 m s.l.m.
Superficie,"11,35 km²"
Abitanti,98[1] (30-11-2025)
Densità,"8,63 ab./km²"
Frazioni,"Bergia, Chesta, Gorré, Paraloup San Mauro (capoluogo), Scanavasse, Tanara, Tetto Ponte, Tetto Rimet"
Comuni confinanti,"Bernezzo, Gaiola, Monterosso Grana, Roccasparvera, Valgrana, Valloriate"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004182
Cod. catastale,H326
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 245 GG[3]"
Nome abitanti,rittanesi (in dialetto Ritanin)
Patrono,san Mauro
Giorno festivo,15 gennaio; festa solenne la 1ª domenica di maggio
Cartografia,Cartografia
Rittana,Rittana
Rittana – MappaPosizione di Rittana nella provincia di Cuneo,Rittana – MappaPosizione di Rittana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
