Castagnito comune,Castagnito comune.1
,
Castagnito – VedutaPanorama di Castagnito in una cartolina d'epoca.,Castagnito – VedutaPanorama di Castagnito in una cartolina d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Carlo Porro (lista civica Progetto Castagnito) dal 27-5-2019
Territorio,Territorio
Coordinate,44°45′00.69″N 8°03′10.3″E
Altitudine,350 m s.l.m.
Superficie,"7,11 km²"
Abitanti,2 292[1] (30-11-2025)
Densità,"322,36 ab./km²"
Frazioni,"Baraccone, San Giuseppe"
Comuni confinanti,"Barbaresco, Castellinaldo d'Alba, Guarene, Magliano Alfieri, Neive, Vezza d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004046
Cod. catastale,C046
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 602 GG[3]"
Nome abitanti,castagnitesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castagnito,Castagnito
Castagnito – MappaPosizione di Castagnito nella provincia di Cuneo,Castagnito – MappaPosizione di Castagnito nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
