Villafalletto comune,Villafalletto comune.1
,
Villafalletto – VedutaUna vista di Villafalletto,Villafalletto – VedutaUna vista di Villafalletto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giuseppe Sarcinelli (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°33′N 7°32′E
Altitudine,431 m s.l.m.
Superficie,"29,73 km²"
Abitanti,2 917[1] (30-11-2025)
Densità,"98,12 ab./km²"
Frazioni,"Gerbola, Monsola, Termine"
Comuni confinanti,"Busca, Centallo, Costigliole Saluzzo, Fossano, Savigliano, Tarantasca, Verzuolo, Vottignasco"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004244
Cod. catastale,L942
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 955 GG[3]"
Nome abitanti,villafallettesi
Patrono,san Luigi Gonzaga
Giorno festivo,21 giugno
Cartografia,Cartografia
Villafalletto,Villafalletto
Villafalletto – MappaTerritorio comunale di Villafalletto nella provincia di Cuneo,Villafalletto – MappaTerritorio comunale di Villafalletto nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
