Alba comune,Alba comune.1
,
Alba – Veduta,Alba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alberto Gatto (centro-sinistra) dal 10-06-2024
Territorio,Territorio
Coordinate,44°41′29.55″N 8°01′32.29″E
Altitudine,172 m s.l.m.
Superficie,"53,59 km²"
Abitanti,30 978[1] (30-11-2025)
Densità,"578,06 ab./km²"
Frazioni,"Madonna di Como, Biglini-Scaparone, Mussotto, Gallo, San Rocco Cherasca, San Rocco Seno d'Elvio, Santa Rosalia[2]"
Comuni confinanti,"Barbaresco, Benevello, Borgomale, Castiglione Falletto, Corneliano d'Alba, Diano d'Alba, Grinzane Cavour, Guarene, La Morra, Monticello d'Alba, Piobesi d'Alba, Roddi, Rodello, Serralunga d'Alba, Treiso, Trezzo Tinella"
Altre informazioni,Altre informazioni
Cod. postale,12051
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004003
Cod. catastale,A124
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 528 GG[4]"
Nome abitanti,albesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Alba,Alba
Alba – MappaPosizione di Alba nella provincia di Cuneo,Alba – MappaPosizione di Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
