Viola comune,Viola comune.1
,
Viola – Veduta,Viola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Danilo Donetta (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°17′N 7°58′E
Altitudine,827 m s.l.m.
Superficie,"21,07 km²"
Abitanti,388[1] (30-11-2025)
Densità,"18,41 ab./km²"
Frazioni,"Castello, Coniglione, Saint Gréé, San Giorgio, Vallossera, Pallarea, Costa, Crosa, Riviera, Crivella, Bovetti, Martini"
Comuni confinanti,"Bagnasco, Garessio, Lisio, Monasterolo Casotto, Pamparato, Priola"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004249
Cod. catastale,M063
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 341 GG[3]"
Nome abitanti,violesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Viola,Viola
Viola – MappaPosizione di Viola nella provincia di Cuneo,Viola – MappaPosizione di Viola nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
