Gorzegno comune,Gorzegno comune.1
,
Gorzegno – VedutaVeduta,Gorzegno – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Chinazzo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°31′N 8°08′E
Altitudine,319 m s.l.m.
Superficie,"13,97 km²"
Abitanti,241[1] (30-11-2025)
Densità,"17,25 ab./km²"
Frazioni,Pianelle
Comuni confinanti,"Feisoglio, Levice, Mombarcaro, Niella Belbo, Prunetto"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004097
Cod. catastale,E111
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 711 GG[3]"
Nome abitanti,gorzegnesi
Cartografia,Cartografia
Gorzegno,Gorzegno
Gorzegno – MappaPosizione di Gorzegno nella provincia di Cuneo,Gorzegno – MappaPosizione di Gorzegno nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
