Aisone comune,Aisone comune.1
,
Aisone – Veduta,Aisone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Pietro Trocello (lista civica) dal 31-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,44°19′N 7°13′E
Altitudine,834 m s.l.m.
Superficie,"36,92 km²"
Abitanti,206[1] (30-11-2025)
Densità,"5,58 ab./km²"
Frazioni,"Forani, Lucerna, San Giuseppe, Lavoire"
Comuni confinanti,"Demonte, Valdieri, Vinadio"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004002
Cod. catastale,A113
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 349 GG[3]"
Nome abitanti,aisonesi
Patrono,Natività di Maria
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Aisone,Aisone
Aisone – MappaPosizione del comune di Aisone nella provincia di Cuneo,Aisone – MappaPosizione del comune di Aisone nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
