Melle comune,Melle comune.1
,
Melle – VedutaMelle visto dalla panchina gigante sopra il paese,Melle – VedutaMelle visto dalla panchina gigante sopra il paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giovanni Fina (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,44°34′N 7°19′E
Altitudine,683 m s.l.m.
Superficie,"27,91 km²"
Abitanti,294[1] (30-11-2025)
Densità,"10,53 ab./km²"
Comuni confinanti,"Brossasco, Busca, Cartignano, Frassino, Roccabruna, San Damiano Macra"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004122
Cod. catastale,F114
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 162 GG[3]"
Nome abitanti,mellesi
Patrono,san Lazzaro[non chiaro]
Giorno festivo,11 agosto
Cartografia,Cartografia
Melle,Melle
Melle – MappaPosizione di Melle nella provincia di Cuneo,Melle – MappaPosizione di Melle nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
