Santo Stefano Roero comune,Santo Stefano Roero comune.1
,
Santo Stefano Roero – VedutaChiesa parrocchiale di Santa Maria del Podio,Santo Stefano Roero – VedutaChiesa parrocchiale di Santa Maria del Podio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giuseppina Facco (lista civica Viviamo Santo Stefano Roero) dal 4-10-2021
Territorio,Territorio
Coordinate,44°47′N 7°57′E
Altitudine,330 m s.l.m.
Superficie,"13,11 km²"
Abitanti,1 346[1] (30-11-2025)
Densità,"102,67 ab./km²"
Comuni confinanti,"Canale, Montà, Monteu Roero, Pralormo (TO)"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004214
Cod. catastale,I372
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 724 GG[3]"
Nome abitanti,sanstefanesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Santo Stefano Roero,Santo Stefano Roero
Santo Stefano Roero – MappaTerritorio comunale di Santo Stefano Roero nella provincia di Cuneo,Santo Stefano Roero – MappaTerritorio comunale di Santo Stefano Roero nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
