Oncino comune,Oncino comune.1
,
"Oncino – VedutaPanorama di Oncino, a destra il capoluogo col campanile, ai piedi del Monviso","Oncino – VedutaPanorama di Oncino, a destra il capoluogo col campanile, ai piedi del Monviso"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alfredo Fantone (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°41′N 7°11′E
Altitudine,1 220 (min 810 - max 3 841) m s.l.m.
Superficie,"47,36 km²"
Abitanti,84[1] (30-11-2025)
Densità,"1,77 ab./km²"
Frazioni,"Arlongo, Bigorie, Piatette, Chiotti, Paschié, Porcili, Ruata, Ruera, Sant'Ilario, Saret, Serre, Tirolo, Villa"
Comuni confinanti,"Casteldelfino, Crissolo, Ostana, Paesana, Pontechianale, Sampeyre"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004154
Cod. catastale,G066
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 828 GG[3]"
Nome abitanti,oncinesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Oncino,Oncino
Oncino – MappaPosizione di Oncino nella provincia di Cuneo,Oncino – MappaPosizione di Oncino nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
