Roddi comune,Roddi comune.1
,
Roddi – VedutaVista panoramica,Roddi – VedutaVista panoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Davico (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°41′N 7°58′E
Altitudine,284 m s.l.m.
Superficie,"9,35 km²"
Abitanti,1 588[1] (30-11-2025)
Densità,"169,84 ab./km²"
Frazioni,"Talloria, Arditi, Roccabella, Molino di Roddi, Porello, Quattrino"
Comuni confinanti,"Alba, La Morra, Monticello d'Alba, Santa Vittoria d'Alba, Verduno"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004194
Cod. catastale,H472
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 607 GG[3]"
Nome abitanti,roddesi
Patrono,Maria santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Roddi,Roddi
Roddi – MappaPosizione di Roddi in provincia di Cuneo,Roddi – MappaPosizione di Roddi in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
