Ormea comune,Ormea comune.1
,
Ormea – VedutaPanorama,Ormea – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giorgio Ferraris (Lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°09′N 7°55′E
Altitudine,736 m s.l.m.
Superficie,"124,5 km²"
Abitanti,1 449[1] (30-11-2025)
Densità,"11,64 ab./km²"
Frazioni,"Aimoni, Airola, Albra, Alpisella, Barchi, Bossi, Bossieta, Campocomune, Cantarana, Case Rian, Chionea, Chioraira, Eca, Gorreto, Isola Perosa, Nasagò, Pian del Fò, Ponte di Nava, Pornassino, Prale, Pronzai, Quarzina, Santa Libera, Toria, Valdarmella, Villaro, Viozene"
Comuni confinanti,"Alto, Armo (IM), Briga Alta, Caprauna, Cosio di Arroscia (IM), Frabosa Soprana, Garessio, Magliano Alpi, Nasino (SV), Pornassio (IM), Roburent, Roccaforte Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12078
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004155
Cod. catastale,G114
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 122 GG[3]"
Nome abitanti,ormeaschi o ormeesi
Patrono,san Martino
Giorno festivo,"Corpus Domini, 11 novembre"
Cartografia,Cartografia
Ormea,Ormea
Ormea – MappaPosizione del comune di Ormea nella provincia di Cuneo,Ormea – MappaPosizione del comune di Ormea nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
