Bagnasco comune,Bagnasco comune.1
,
Bagnasco – VedutaVeduta,Bagnasco – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mauro Bertino (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°18′14.83″N 8°02′42.79″E
Altitudine,483 m s.l.m.
Superficie,"30,95 km²"
Abitanti,932[1] (30-11-2025)
Densità,"30,11 ab./km²"
Frazioni,"Borgate: Borgo, Piano Frazioni: Centasco, Gambologna, Garbenna, Gerbioli"
Comuni confinanti,"Battifollo, Calizzano (SV), Lisio, Massimino (SV), Nucetto, Perlo, Priola, Viola"
Altre informazioni,Altre informazioni
Cod. postale,12071
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004008
Cod. catastale,A555
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 914 GG[3]"
Nome abitanti,bagnaschesi
Patrono,Madonna del Rosario
Cartografia,Cartografia
Bagnasco,Bagnasco
Bagnasco – MappaPosizione di Bagnasco nella provincia di Cuneo,Bagnasco – MappaPosizione di Bagnasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
