Cigliè comune,Cigliè comune.1
,
Cigliè – Veduta,Cigliè – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Adriano Ferrero (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°26′N 7°56′E
Altitudine,549 m s.l.m.
Superficie,"6,12 km²"
Abitanti,195[1] (30-11-2025)
Densità,"31,86 ab./km²"
Comuni confinanti,"Bastia Mondovì, Clavesana, Mondovì, Niella Tanaro, Rocca Cigliè"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004069
Cod. catastale,C681
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 831 GG[3]"
Nome abitanti,cigliesi
Patrono,San Pietro e san Paolo
Giorno festivo,ultima domenica di giugno
Cartografia,Cartografia
Cigliè,Cigliè
Cigliè – MappaPosizione di Cigliè nella provincia di Cuneo,Cigliè – MappaPosizione di Cigliè nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
