Torre San Giorgio comune,Torre San Giorgio comune.1
,
Torre San Giorgio – VedutaPanorama invernale,Torre San Giorgio – VedutaPanorama invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Daniele Giorgio Arnolfo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°43′46.2″N 7°31′47.59″E
Altitudine,262 m s.l.m.
Superficie,"5,39 km²"
Abitanti,705[1] (30-11-2025)
Densità,"130,8 ab./km²"
Comuni confinanti,"Moretta, Saluzzo, Scarnafigi, Villanova Solaro"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004228
Cod. catastale,L278
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 640 GG[3]"
Nome abitanti,torresangiorgesi
Cartografia,Cartografia
Torre San Giorgio,Torre San Giorgio
Torre San Giorgio – MappaTerritorio comunale di Torre San Giorgio nella provincia di Cuneo,Torre San Giorgio – MappaTerritorio comunale di Torre San Giorgio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
