Piozzo comune,Piozzo comune.1
,
Piozzo – VedutaPiozzo ed il fiume Tanaro,Piozzo – VedutaPiozzo ed il fiume Tanaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Sergio Lasagna (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°31′N 7°54′E
Altitudine,327 m s.l.m.
Superficie,"14,3 km²"
Abitanti,995[1] (30-11-2025)
Densità,"69,58 ab./km²"
Frazioni,"San Grato, Verne, Pià"
Comuni confinanti,"Bene Vagienna, Carrù, Farigliano, Lequio Tanaro"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004169
Cod. catastale,G697
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 721 GG[3]"
Nome abitanti,piozzesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Piozzo,Piozzo
Piozzo – MappaPosizione di Piozzo nella provincia di Cuneo,Piozzo – MappaPosizione di Piozzo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
