Igliano comune,Igliano comune.1
,
Igliano – VedutaMunicipio,Igliano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Flavio Gonella (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°26′36.96″N 8°00′45″E
Altitudine,532 m s.l.m.
Superficie,"3,4 km²"
Abitanti,63[1] (30-11-2025)
Densità,"18,53 ab./km²"
Frazioni,"Capoluogo, San Luigi, Langa"
Comuni confinanti,"Castellino Tanaro, Marsaglia, Murazzano, Roascio, Torresina"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004102
Cod. catastale,E282
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 975 GG[3]"
Nome abitanti,iglianesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Igliano,Igliano
Igliano – MappaPosizione di Igliano nella provincia di Cuneo,Igliano – MappaPosizione di Igliano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
