Treiso comune,Treiso comune.1
,
Treiso – VedutaVeduta,Treiso – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Andrea Pionzo (lista civica Treiso oggi) dal 21-9-2020
Territorio,Territorio
Coordinate,44°41′21.2″N 8°05′13.1″E
Altitudine,410 m s.l.m.
Superficie,"9,6 km²"
Abitanti,736[1] (30-11-2025)
Densità,"76,67 ab./km²"
Frazioni,"Canta, Giacosa, Meruzzano, Pertinace"
Comuni confinanti,"Alba, Barbaresco, Neive, Neviglie, Trezzo Tinella"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004230
Cod. catastale,L367
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 823 GG[3]"
Nome abitanti,treisesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Treiso,Treiso
Treiso – MappaPosizione di Treiso nella provincia di Cuneo,Treiso – MappaPosizione di Treiso nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
