Marene comune,Marene comune.1
,
Marene – VedutaVilla Neogotica,Marene – VedutaVilla Neogotica
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alberto Deninotti (Senso civico Marene) dal 09-06-2024
Data di istituzione,09-06-2024
Territorio,Territorio
Coordinate,44°40′N 7°44′E
Altitudine,310 m s.l.m.
Superficie,"28,99 km²"
Abitanti,3 349[1] (30-11-2025)
Densità,"115,52 ab./km²"
Frazioni,"San Bernardo, Canaposo, Mondini, Basaluzzo, Moglia, Costa Trucchi, Tetti Racca, Argula, Tetti Famolassi, Sant'Antonio, Monte Maggiore, Cascinotta, Valle, Sperina, Mallone, Bosco, Boschetto, Bergaminotto."
Comuni confinanti,"Cavallermaggiore, Cervere, Cherasco, Savigliano"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004117
Cod. catastale,E939
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 639 GG[3]"
Nome abitanti,marenesi
Patrono,Natività di Maria Vergine
Giorno festivo,12 settembre
Motto,DELECTAT ET NUTRIT
Cartografia,Cartografia
Marene,Marene
Marene – MappaPosizione del comune di Marene nella provincia di Cuneo,Marene – MappaPosizione del comune di Marene nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
