Celle di Macra comune,Celle di Macra comune.1
,
Celle di Macra – Veduta,Celle di Macra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Michelangelo Ghio (lista civica) dal 25-5-2019
Territorio,Territorio
Coordinate,44°29′N 7°11′E
Altitudine,1 270 m s.l.m.
Superficie,"31,11 km²"
Abitanti,85[1] (30-11-2025)
Densità,"2,73 ab./km²"
Frazioni,"Albornetto, Ansoleglio, Bassura, Castellaro, Chiesa(sede comunale), Chiotto, Combe, Grangia, Matalia, Paschero, Rio, Ruà, Sagna, Serre, Soglio Soprano, Soglio Sottano, Ugo Soprano, Ugo Sottano"
Comuni confinanti,"Castelmagno, Macra, Marmora, San Damiano Macra"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004060
Cod. catastale,C441
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 890 GG[3]"
Nome abitanti,cellesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Celle di Macra,Celle di Macra
Celle di Macra – MappaPosizione di Celle di Macra nella provincia di Cuneo,Celle di Macra – MappaPosizione di Celle di Macra nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
