Magliano Alfieri comune,Magliano Alfieri comune.1
,
"Magliano Alfieri – VedutaMagliano Alfieri, vista dalla valle Tanaro","Magliano Alfieri – VedutaMagliano Alfieri, vista dalla valle Tanaro"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giulia Adriano (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°46′N 8°04′E
Altitudine,328 m s.l.m.
Superficie,"9,5 km²"
Abitanti,2 176[1] (30-11-2025)
Densità,"229,05 ab./km²"
Frazioni,"Cornale, San Giacomo, Sant'Antonio"
Comuni confinanti,"Castagnito, Castagnole delle Lanze (AT), Castellinaldo d'Alba, Govone, Neive, Priocca"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004113
Cod. catastale,E809
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 575 GG[3]"
Nome abitanti,maglianesi
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile
Cartografia,Cartografia
Magliano Alfieri,Magliano Alfieri
Magliano Alfieri – MappaPosizione di Magliano Alfieri nella provincia di Cuneo,Magliano Alfieri – MappaPosizione di Magliano Alfieri nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
