Marsaglia comune,Marsaglia comune.1
,
Marsaglia – VedutaVeduta del paese con il castello,Marsaglia – VedutaVeduta del paese con il castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Franca Biglio (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°27′13.89″N 7°58′52.49″E
Altitudine,024&lingua=ita Dato Istat - Popolazione residente al 31 maggio 2 024 (dato provvisorio). m s.l.m.
Superficie,"13,03 km²"
Abitanti,221[1] (30-11-2025)
Densità,"16,96 ab./km²"
Comuni confinanti,"Castellino Tanaro, Clavesana, Igliano, Murazzano, Rocca Cigliè"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004120
Cod. catastale,E973
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 068 GG[3]"
Nome abitanti,marsagliesi
Patrono,sant'Eusebio di Vercelli
Giorno festivo,1º agosto
Cartografia,Cartografia
Marsaglia,Marsaglia
Marsaglia – MappaPosizione di Marsaglia nella provincia di Cuneo,Marsaglia – MappaPosizione di Marsaglia nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
