Saluzzo comune,Saluzzo comune.1
(dettagli),(dettagli)
"Saluzzo – VedutaVeduta del centro storico, con il Monviso sullo sfondo.","Saluzzo – VedutaVeduta del centro storico, con il Monviso sullo sfondo."
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Franco Demaria (lista civica-centrosinistra) dall'11-6-2024
Territorio,Territorio
Coordinate,44°38′43″N 7°29′26″E
Altitudine,350 m s.l.m.
Superficie,"76,59 km²"
Abitanti,17 571[1] (30-11-2025)
Densità,"229,42 ab./km²"
Frazioni,"Bronda, Castellar, Cervignasco, Colombaro dei Rossi, Paracollo, Paschere, Ruata Eandi, Ruata Re, San Lazzaro, Stella, Torrazza, Via dei Romani, Via della Croce"
Comuni confinanti,"Cardè, Lagnasco, Manta, Moretta, Pagno, Revello, Scarnafigi, Torre San Giorgio"
Altre informazioni,Altre informazioni
Cod. postale,12037
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004203
Cod. catastale,H727
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 735 GG[3]"
Nome abitanti,saluzzesi
Patrono,san Chiaffredo
Giorno festivo,il lunedì successivo alla prima domenica di settembre
Cartografia,Cartografia
Saluzzo,Saluzzo
Saluzzo – MappaPosizione di Saluzzo nella provincia di Cuneo,Saluzzo – MappaPosizione di Saluzzo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
