Lagnasco comune,Lagnasco comune.1
,
Lagnasco – VedutaCastello Tapparelli,Lagnasco – VedutaCastello Tapparelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Dalmazzo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°38′N 7°33′E
Altitudine,353 m s.l.m.
Superficie,"17,71 km²"
Abitanti,1 385[1] (30-11-2025)
Densità,"78,2 ab./km²"
Frazioni,"Cascine Brero, Cerio, Chiabotti Grangia."
Comuni confinanti,"Manta, Saluzzo, Savigliano, Scarnafigi, Verzuolo"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004104
Cod. catastale,E406
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 804 GG[3]"
Nome abitanti,lagnaschesi
Cartografia,Cartografia
Lagnasco,Lagnasco
Lagnasco – MappaTerritorio comunale di Lagnasco nella provincia di Cuneo,Lagnasco – MappaTerritorio comunale di Lagnasco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
