Cortemilia comune,Cortemilia comune.1
,
Cortemilia – VedutaVeduta panoramica di Cortemilia,Cortemilia – VedutaVeduta panoramica di Cortemilia
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Bodrito (lista civica) dal 31-5-2015
Territorio,Territorio
Coordinate,44°34′30″N 8°11′30″E
Altitudine,247 m s.l.m.
Superficie,"24,99 km²"
Abitanti,2 107[1] (30-11-2025)
Densità,"84,31 ab./km²"
Comuni confinanti,"Bergolo, Bosia, Castino, Perletto, Pezzolo Valle Uzzone, Serole (AT), Torre Bormida"
Altre informazioni,Altre informazioni
Cod. postale,12074
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004073
Cod. catastale,D062
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 621 GG[3]"
Nome abitanti,cortemiliesi
Cartografia,Cartografia
Cortemilia,Cortemilia
Cortemilia – MappaPosizione di Cortemilia nella provincia di Cuneo,Cortemilia – MappaPosizione di Cortemilia nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
