Envie comune,Envie comune.1
,
Envie – VedutaLa piazza ed i portici del municipio,Envie – VedutaLa piazza ed i portici del municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Mellano (lista civica)
Territorio,Territorio
Coordinate,44°41′N 7°22′E
Altitudine,327 (min 266 - max 1 306) m s.l.m.
Superficie,"24,93 km²"
Abitanti,1 949[1] (30-11-2025)
Densità,"78,18 ab./km²"
Frazioni,Occa
Comuni confinanti,"Barge, Revello, Rifreddo, Sanfront"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004085
Cod. catastale,D412
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 721 GG[3]"
Nome abitanti,enviesi
Patrono,san Marcellino
Giorno festivo,26 aprile
Cartografia,Cartografia
Envie,Envie
Envie – MappaPosizione di Envie nella provincia di Cuneo,Envie – MappaPosizione di Envie nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
