Racconigi comune,Racconigi comune.1
,
"Racconigi – VedutaPiazza Carlo Alberto, sulla destra il palazzo comunale","Racconigi – VedutaPiazza Carlo Alberto, sulla destra il palazzo comunale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Valerio Oderda (Officina Racconigi) dal 12-6-2017
Territorio,Territorio
Coordinate,44°46′N 7°41′E
Altitudine,260 (min 180 - max 400) m s.l.m.
Superficie,"48,06 km²"
Abitanti,9 623[1] (30-11-2025)
Densità,"200,23 ab./km²"
Frazioni,"Berroni, Canapile, Migliabruna, Oia, Parruccia, San Lorenzo, Tagliata"
Comuni confinanti,"Caramagna Piemonte, Carmagnola (TO), Casalgrasso, Cavallerleone, Cavallermaggiore, Lombriasco (TO), Murello, Polonghera, Sommariva del Bosco"
Altre informazioni,Altre informazioni
Cod. postale,12035
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004179
Cod. catastale,H150
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 637 GG[3]"
Nome abitanti,racconigesi
Patrono,san Giovanni Battista[4]
Giorno festivo,lunedì successivo alla 3ª domenica di settembre[4]
Cartografia,Cartografia
Racconigi,Racconigi
Racconigi – MappaPosizione del comune di Racconigi nella provincia di Cuneo,Racconigi – MappaPosizione del comune di Racconigi nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
