Castelmagno comune,Castelmagno comune.1
,
Castelmagno – VedutaIl santuario di San Magno,Castelmagno – VedutaIl santuario di San Magno
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alberto Bianco (lista civica) dal 14-05-2023
Territorio,Territorio
Coordinate,44°25′N 7°13′E
Altitudine,1 141 m s.l.m.
Superficie,"49,31 km²"
Abitanti,51[1] (30-11-2025)
Densità,"1,03 ab./km²"
Frazioni,"Campomolino (sede comunale), Chiappi, Chiotti, Colletto, Einaudi, Nerone"
Comuni confinanti,"Celle di Macra, Demonte, Dronero, Marmora, Monterosso Grana, Pradleves, San Damiano Macra"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004053
Cod. catastale,C205
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 730 GG[3]"
Nome abitanti,castelmagnesi
Patrono,san Magno
Giorno festivo,19 agosto
Cartografia,Cartografia
Castelmagno,Castelmagno
Castelmagno – MappaPosizione di Castelmagno nella provincia di Cuneo,Castelmagno – MappaPosizione di Castelmagno nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
